epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.393,1.90635,4.26131,1.98717,0.00035,0.08902,0.00179,0.00044,2.41132,4.88596,2.73777,0.0676471,0.000326797,0.000326797
2,363.085,1.8946,3.99959,1.99054,0.46304,0.03255,0.00684,0.00219,2.42383,4.61768,2.54596,0.0346411,0.00065419,0.00065419
3,386.157,1.91691,3.85321,2.01478,0.4078,0.04172,0.00645,0.00216,2.35546,8.12775,2.71114,0.00162918,0.000975582,0.000975582
4,411.782,1.91216,3.76397,2.03728,0.56867,0.05083,0.01255,0.00403,2.52398,6.14487,2.68654,0.000973,0.000973,0.000973
5,436.283,1.87862,3.61295,2.01829,0.56899,0.03247,0.02267,0.00709,2.38537,7.13478,2.69233,0.000964,0.000964,0.000964
6,457.259,1.85423,3.49097,1.99667,0.01909,0.08348,0.02132,0.00799,2.41215,4.43881,2.6922,0.000955,0.000955,0.000955
7,479.39,1.83607,3.44608,2.00069,0.33027,0.08125,0.03205,0.01189,2.27173,4.41125,2.53963,0.000946,0.000946,0.000946
8,500.711,1.80669,3.33761,1.98077,0.29636,0.06929,0.03663,0.01405,2.2996,4.04421,2.46404,0.000937,0.000937,0.000937
9,523.133,1.78422,3.2418,1.908,0.23362,0.06045,0.02427,0.00892,2.3759,4.20828,2.40607,0.000928,0.000928,0.000928
10,543.448,1.74675,3.19135,1.90662,0.20994,0.09325,0.0536,0.02185,2.22115,3.90765,2.43106,0.000919,0.000919,0.000919
11,567.346,1.74371,3.11667,1.90118,0.23843,0.1184,0.0477,0.01718,2.33349,4.00249,2.44147,0.00091,0.00091,0.00091
12,587.603,1.69987,3.05139,1.8756,0.24588,0.0743,0.04627,0.01793,2.33504,4.3232,2.58209,0.000901,0.000901,0.000901
13,610.165,1.71526,2.98329,1.87981,0.40102,0.124,0.05042,0.02102,2.29984,4.19606,2.49889,0.000892,0.000892,0.000892
14,630.56,1.72072,2.95442,1.88241,0.17499,0.09388,0.05224,0.02049,2.29291,3.88899,2.51316,0.000883,0.000883,0.000883
15,651.764,1.70825,2.85494,1.86601,0.24223,0.14445,0.06426,0.02354,2.30954,4.13706,2.4849,0.000874,0.000874,0.000874
16,674.223,1.66886,2.78871,1.84187,0.19477,0.12938,0.06109,0.02224,2.35611,3.82762,2.54887,0.000865,0.000865,0.000865
17,697.12,1.63533,2.75969,1.82144,0.36737,0.13355,0.06761,0.02143,2.28742,4.05163,2.63102,0.000856,0.000856,0.000856
18,717.471,1.64954,2.7284,1.82307,0.17027,0.11305,0.06483,0.02537,2.26904,4.0332,2.45945,0.000847,0.000847,0.000847
19,739.515,1.62592,2.63373,1.79355,0.25441,0.11723,0.09008,0.0414,2.26613,3.79296,2.481,0.000838,0.000838,0.000838
20,759.814,1.57087,2.55321,1.75045,0.21339,0.1547,0.09271,0.03843,2.28378,3.81365,2.54788,0.000829,0.000829,0.000829
21,783.21,1.5811,2.52759,1.7512,0.21904,0.11722,0.08013,0.03373,2.23789,3.76095,2.43259,0.00082,0.00082,0.00082
22,805.199,1.56606,2.47003,1.75714,0.253,0.14083,0.09384,0.03256,2.31188,4.18562,2.69335,0.000811,0.000811,0.000811
23,827.097,1.57623,2.4326,1.74463,0.36431,0.10038,0.08169,0.03183,2.3451,4.30255,2.63756,0.000802,0.000802,0.000802
24,852.163,1.52575,2.40928,1.71573,0.21645,0.12444,0.08414,0.03347,2.29444,3.79962,2.47254,0.000793,0.000793,0.000793
25,874.639,1.54333,2.36542,1.71871,0.27618,0.14809,0.10273,0.03911,2.32803,3.83968,2.54025,0.000784,0.000784,0.000784
