Dateiname,Bild,Erkannte Objekte
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/00391e8e7b7471184a7376a0880c0ad8.jpg,Bild 1,"agricultural labourer, headscarf, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/003da6283a7077621b9eb8cf0b9f7d4e.jpg,Bild 2,"agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/009d864f387b66353483e09c8c501adb.jpg,Bild 3,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/00cba28b05cb6808c17ede19318540b7.jpg,Bild 4,"factory worker, factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/00e13a977a65cd849b578a901cf44053.jpg,Bild 5,"agricultural labourer, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/01292c1dcc2a9a4fb485ad0ccec0978e.jpg,Bild 6,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/01c3c1ec7f205613eb6da6b1acbd6cca.jpg,Bild 7,"agricultural labourer, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/02256fbd91779c6bfb33e32d3184760e.jpg,Bild 8,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/02567a733ea55829662da0adbe66e4df.jpg,Bild 9,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/02629b6ec65c3e4192bbecf629a4da02.jpg,Bild 10,"agricultural labourer, agricultural labourer, agricultural labourer, factory worker, agricultural labourer, agricultural labourer, flag, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/02b9afc0b685bad8a7331042a300c120.jpg,Bild 11,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/03621f9c2aefddece1e8854f18a148d2.jpg,Bild 12,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/03b54cb851a178a02109c4f19970458d.jpg,Bild 13,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/03de8eef2c42ff30cfad624ca3432f01.jpg,Bild 14,"book, flag, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0408ef26e0f5a99c05eae818433d52ee.jpg,Bild 15,"factory worker, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0470f13247455e4fc9ca8762d2f813d2.jpg,Bild 16,"hammer, agricultural labourer, factory worker, sickle, flag, flag, office worker, factory worker, wheat"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/049374c279e76f9b44d60fcf2a934eb1.jpg,Bild 17,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/04c080703a18ba381e7b059c72039cac.jpg,Bild 18,"flag, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/04c8898997536cb1cc4bf538c2aff735.jpg,Bild 19,"agricultural labourer, agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/04f6078a0ded9eb7aa8ea307bfa5a871.jpg,Bild 20,plane
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/052d52723462866ae11dff8ca91490d1.jpg,Bild 21,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/05748fe951c1f6160b041d73f3f6d93e.jpg,Bild 22,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/05d0ea24a7e3bc89183dff0b5e76320f.jpg,Bild 23,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/07442306ee2d32c8d7fed04ba83ee660.jpg,Bild 24,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0753f7f0a9829f42dff528e5c5c43e51.jpg,Bild 25,"agricultural labourer, headscarf, grass, machinery, sky, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/07b9b87b25b6514fa35610b1817cef86.jpg,Bild 26,"agricultural labourer, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/07eb69c9bbea6dad26fdb7319e658013.jpg,Bild 27,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/082c97efa61f200f2da6f6fd9cd076ca.jpg,Bild 28,"factory worker, crane, building"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/089b234d36f1d4c1c0ce6cc568b95ac2.jpg,Bild 29,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/09348c24e54cafae63a9617235af933e.jpg,Bild 30,"agricultural labourer, building, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/09d7571cf0593d4361829cf10bfcd602.jpg,Bild 31,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0a76991828010c016e04556a042b2fc6.jpg,Bild 32,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0aa6ba6d928fa06b1a91fa36343a610f.jpg,Bild 33,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0af233deb04b6095ea39b14ad52dabae.jpg,Bild 34,"agricultural labourer, headscarf, headscarf, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0b617f5eed591537137e19f6382bac59.jpg,Bild 35,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0ba3b10321b845b1944a8ee7f97a15fb.jpg,Bild 36,"agricultural labourer, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0ba74259f58597ec7141f3b41924a862.jpg,Bild 37,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0bd94686c6c3793fc1058c54d756f23a.jpg,Bild 38,"crane, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0bf09a9cd3c06fc402848c4ede1ff872.jpg,Bild 39,"agricultural labourer, agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0c1ac49153fe31ed5021ae0a8f9d3a7a.jpg,Bild 40,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0c5f55c1af3ac6c421b748c7de13f81e.jpg,Bild 41,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0c6c625e08dfd7b199c081a35e921e45.jpg,Bild 42,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0cdae8d194169f5f493d21e555393c9b.jpg,Bild 43,"wheat, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0d0561e5c0143cc63f6a2ee681aa2d4f.jpg,Bild 44,"factory worker, agricultural labourer, book"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0dc8ee7c3985c27adcf6b9d8c0e66064.jpg,Bild 45,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0eac56096edc0f965ccd022e2044d1a5.jpg,Bild 46,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0f39097c85bbbbc25ede5cb29910475e.jpg,Bild 47,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0f5623f33d648aeba56473821ca9cc95.jpg,Bild 48,"agricultural labourer, headscarf, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/0fa85f7a6d69da6a7adba3d3e42411b3.jpg,Bild 49,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/10-대건설행군을-힘있게다그치자Lets-Accelerate-the-Grand-March-of-Construction-400x400.png,Bild 50,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/101677a44e0c637c2110403fd4c274d2.jpg,Bild 51,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1031ad512cd226f202214d983bbf3091.jpg,Bild 52,"factory worker, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/103d60a4720d47e9db629be9af5196b6.jpg,Bild 53,sickle
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/10836a9eaeefa50e19a50c0110eab6e8.jpg,Bild 54,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/11-변장술에속지말라Dont-be-fooled-by-disguise-400x400.png,Bild 55,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/112a70da46a2c090617d13ac5cd70bfc.jpg,Bild 56,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/117008c8c260618355933b008297dc4e.jpg,Bild 57,"flag, building"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/11ae60e9fd1536f17492c3af5571747e.jpg,Bild 58,office worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/12-긴장한철도수송을풀자-Lets-Solve-Tense-Railway-Transport-400x400.png,Bild 59,"agricultural labourer, factory worker, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/121d991f314bcc8bc79e124a0a7c6085.jpg,Bild 60,"star, factory worker, factory worker, factory worker, agricultural labourer, factory worker, sky, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/121e9b4e68c5af997f0e7974a68560e3.jpg,Bild 61,machinery
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/128ee1df6f2b7ecb00477a2ebdef0aa3.jpg,Bild 62,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/12be6d1eb2bfcb2ad0e2895840e7e431.jpg,Bild 63,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/12f6b42c425494185b9b6afce42b46ac.jpg,Bild 64,"agricultural labourer, agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1332e4c4c8e22524b854bd3dac2cf9f0.jpg,Bild 65,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/133398313048d8465aa659127d41c6f2.jpg,Bild 66,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/13404a1e165e6ce860a831276daa8492.jpg,Bild 67,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/144653796fdf657a9f12926f5dd25984.jpg,Bild 68,"factory worker, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/154610c7b15036c49056d625d5242c27.jpg,Bild 69,"agricultural labourer, star"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/158546a46f3e0cbf658bed8269ddb83b.jpg,Bild 70,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1595f2f6212d28faabdd819a6f505f75.jpg,Bild 71,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/16592944c98c372b681f168ded633e63.jpg,Bild 72,"factory worker, hammer, agricultural labourer, factory worker"
